Average Perplexity Score: 12.982
<SOS> resumption of the session <EOS>    PP Score = 10.287
<SOS> in my opinion this second hypothesis would imply the failure of parliament in its duty as a parliament as well as introducing an original thesis an unknown method which consists of making political groups aware in writing of a speech concerning the commission s programme a week earlier and not a day earlier as had been agreed bearing in mind that the legislative programme will be discussed in february so we could forego the debate since on the next day our citizens will hear about it in the press and on the internet and parliament will no longer have to worry about it <EOS>    PP Score = 5.863
<SOS> my group believes that since a parliament is meant to listen debate and reflect there can be no justification whatsoever for this delay and we believe that if the commission is ready to do so we still have time to re establish the original agreement between parliament and the commission and proceed in a manner which fulfils our duty to our fellow citizens <EOS>    PP Score = 6.637
<SOS> therefore the proposal of the group of the party of european socialists and which you have mentioned is that the prodi commission present its legislative programme on wednesday including its proposed administrative reform because otherwise we could find ourselves in a paradoxical situation on the pretext that there is no text on the one hand the president of the commission would be denied his right to speak in this parliament and on the other hand there would be a debate on a reform when parliament had no prior knowledge of the texts on which it is based <EOS>    PP Score = 5.748
<SOS> therefore madam president i would ask you to request that the commission express its opinion on this issue and that we then proceed to the vote <EOS>    PP Score = 8.741
<SOS> applause from the pse group <EOS>    PP Score = 6.609
<SOS> madam president i would like to make it very clear that above all the commission has absolute respect for the decisions of this parliament and amongst those the decision establishing its agenda <EOS>    PP Score = 6.351
<SOS> we therefore respect whatever parliament may decide <EOS>    PP Score = 10.930
<SOS> but i would also like to make it very clear that president prodi made a commitment to this parliament to introduce a new debate as mr barón crespo has reminded us which would be in addition to the annual debate on the commission s legislative programme on the broad areas of action for the next five years that is to say for this legislature <EOS>    PP Score = 6.192
<SOS> i would also like to say that the commission is prepared and ready to hold this debate whenever it is convenient and that we were ready to do so this week as we had agreed originally on the basis that it would be presented the day before in a speech to parliamentary groups <EOS>    PP Score = 6.141
<SOS> therefore madam president i would like to repeat that the commission has debated the action plan for the next five years and when parliament decides this week if that is the decision we are prepared to come and explain the programme for the next five years and next month the programme for 200 which is what we fully agreed upon <EOS>    PP Score = 6.618
<SOS> i propose that we vote on the request of the group of the party of european socialists that the commission statement on its strategic objectives should be reinstated <EOS>    PP Score = 5.775
<SOS> still on the subject of wednesday s sitting i have another proposal regarding the oral question on capital tax <EOS>    PP Score = 9.141
<SOS> the ppe de group is requesting that this item be taken off the agenda <EOS>    PP Score = 5.712
<SOS> is there a member who wishes to speak on behalf of this group to propose this <EOS>    PP Score = 4.290
<SOS> madam president i can hear a ripple of laughter from the socialists i was told that large sections of the socialist group were also keen to have this item taken off the agenda because at the vote in the conference of presidents no vote was received from the working group of members of the socialist group responsible for this matter <EOS>    PP Score = 5.649
<SOS> i do not know whether this information is correct but the ppe de group would in any case be grateful if this item were removed because parliament has addressed this issue several times already <EOS>    PP Score = 5.160
<SOS> decisions have also been adopted against a tax of this kind <EOS>    PP Score = 10.609
<SOS> that is why my group moves that this item be taken off the agenda <EOS>    PP Score = 4.350
<SOS> thank you mr poettering <EOS>    PP Score = 11.253
<SOS> we shall now hear mr wurtz speaking against this request <EOS>    PP Score = 7.127
<SOS> madam president i would firstly like to point out mr poettering s lack of logic <EOS>    PP Score = 5.137
<SOS> he has just been preaching to the group of the party of european socialists because they went back on a decision taken in a perfectly clear manner at the conference of presidents and now he is doing just the same <EOS>    PP Score = 5.037
<SOS> we discussed that matter and we were unanimous with the exception of the ppe and eldr groups as my fellow chairmen will recall i even mentioned that it was not a matter of knowing whether one was for or against the tobin tax but of whether one dared to hear what the commission and the council thought of it <EOS>    PP Score = 6.226
<SOS> it is not a lot to ask <EOS>    PP Score = 12.392
<SOS> i therefore repeat the proposal that this oral question to the commission and the council should be retained so that we can find out once and for all the positions of these two bodies regarding the proposal which is relatively modest but which would give a clear message to public opinion particularly after the tide of feeling generated by the failure of the seattle conference <EOS>    PP Score = 5.946
<SOS> we shall proceed to vote on the ppe de group s request that the oral question regarding the capital tax be withdrawn from the agenda <EOS>    PP Score = 6.964
<SOS> parliament rejected the request with <NUM> votes for <NUM> votes against and 7 abstentions <EOS>    PP Score = 6.345
<SOS> madam president i would like to thank mr poettering for advertising this debate <EOS>    PP Score = 4.815
<SOS> madam president has my vote been counted i was unable to vote electronically since i do not have a card <EOS>    PP Score = 7.192
<SOS> my vote was in favour <EOS>    PP Score = 20.887
<SOS> indeed if we add the two members who have declared themselves then the result of the vote would be <EOS>    PP Score = 6.891
<SOS> madam president the presidency has already declared the result of the vote <EOS>    PP Score = 9.032
<SOS> there is no room for amendments <EOS>    PP Score = 13.776
<SOS> madam president in the earlier vote and i will abide by your ruling on this matter on the question of the strategic plan of the commission i indicated that i would like to speak in advance of the vote on behalf of my group <EOS>    PP Score = 7.158
<SOS> that did not happen <EOS>    PP Score = 38.055
<SOS> i would appreciate it if on the close of this item of business i might be allowed to give an explanation of vote on behalf of my group <EOS>    PP Score = 5.097
<SOS> this is an important matter <EOS>    PP Score = 10.311
<SOS> it would be useful for the record of the house to state how people perceive what we have just done in the light of their own political analysis <EOS>    PP Score = 8.148
<SOS> madam president i do not wish to reopen the debate but i had also asked for the floor to comment on mr barón crespo is motion <EOS>    PP Score = 6.432
<SOS> you did not call me either <EOS>    PP Score = 14.416
<SOS> i regret this but the vote has already been taken and the decision is made so let us leave the matter there <EOS>    PP Score = 6.971
<SOS> i am terribly sorry mr hänsch and mr cox i did not see you asking to speak <EOS>    PP Score = 7.122
<SOS> even so i think the positions are quite clear and they shall be entered in the minutes <EOS>    PP Score = 7.914
<SOS> when we adopt the minutes for today s sitting tomorrow then any members who think the positions have not been explained clearly enough may ask for amendments <EOS>    PP Score = 6.253
<SOS> this seems to me to be a workable solution <EOS>    PP Score = 11.096
<SOS> of course the minutes for tomorrow s sitting will take into account any additional explanations <EOS>    PP Score = 7.791
<SOS> i think this is a better solution than proceeding now to extremely time consuming explanations of votes <EOS>    PP Score = 6.476
<SOS> mr cox mr hänsch would this be acceptable to you <EOS>    PP Score = 10.915
<SOS> madam president if the vote records correctly how my group voted i shall not and cannot object to that <EOS>    PP Score = 6.391
<SOS> if your ruling is that i cannot give an explanation of vote i accept that but with reservations <EOS>    PP Score = 7.871
<SOS> we shall pay particular attention to the wording of the minutes as we always do of course <EOS>    PP Score = 7.856
<SOS> if they do not properly reflect the positions adopted then we may correct them if necessary <EOS>    PP Score = 6.943
<SOS> the order of business was adopted thus amended <EOS>    PP Score = 9.803
<SOS> safety advisers for the transport of dangerous goods <EOS>    PP Score = 6.016
<SOS> the next item is the report a<MOB> 199 by mr koch on behalf of the committee on regional policy transport and tourism on the common position adopted by the council with a view to adopting a european parliament and council directive on the harmonisation of examination requirements for safety advisers for the transport of dangerous goods by road rail or inland waterways c<MOB> 199 1998 0106 cod <EOS>    PP Score = 2.705
<SOS> commissioner madam president ladies and gentlemen i can be quite frank in saying that i welcome the council is common position on harmonising the training of safety advisers for the transport of dangerous goods by road rail or inland waterway <EOS>    PP Score = 4.805
<SOS> firstly we needed to take action on a formal level in order to meet the requirements of directive 96 35 ec which obliges the member states to appoint safety advisers and to organise the training instruction and examination of these people but does not explain this explicitly <EOS>    PP Score = 6.419
<SOS> secondly by adopting this directive we achieve a an increase in safety when dangerous goods are both transported and transhipped b a reduction in distortions of competition resulting from wide variations in national training structures and training costs and c equal opportunities for safety advisers on the european labour market <EOS>    PP Score = 5.909
<SOS> all of this is in accordance with the principle of subsidiarity and is therefore to be greatly welcomed <EOS>    PP Score = 8.363
<SOS> our amendments from the first reading have i believe been taken into account very satisfactorily <EOS>    PP Score = 9.803
<SOS> they have either been accepted or transposed with no change in the substance or they have been rejected because the corresponding european arrangements have not been included for example a system of penalties for violations of the rules or a complex classification structure for related groups of questions <EOS>    PP Score = 6.459
<SOS> the one unanimously adopted amendment of the committee on regional policy and transport which concerns the timetable for implementing the directive is something which i would urge you to support <EOS>    PP Score = 6.822
<SOS> by not setting a specific date for the member states to implement the directive and instead giving them a period of three months after its entry into force we are introducing a flexibility clause which ensures that the directive will be implemented without delay <EOS>    PP Score = 6.986
<SOS> i would urge you to endorse this <EOS>    PP Score = 7.299
<SOS> madam president we cannot and must not accept the fact that we hear ever more frequently of accidents causing major damage on our roads but also on our railways and waterways not solely but at least partly because those involved do not take the transport of dangerous goods seriously enough or because as a result of ignorance or a lack of training on the part of the drivers or others responsible for the various vehicles a minor accident has all too often become a major disaster <EOS>    PP Score = 5.549
<SOS> as an austrian i still have a vivid memory as i believe we all do of the catastrophe which cost so many human lives last year in the tauern tunnel where subsequent work to rebuild the parts of the tunnel which had been destroyed in this fire continued for many months at huge expense <EOS>    PP Score = 5.288
<SOS> the renovation project which lasted for months cut off this important route between the north and south of europe <EOS>    PP Score = 5.770
<SOS> the traffic which had to be diverted because of this stretched the patience of many thousands of people in the eu to the limit <EOS>    PP Score = 7.620
<SOS> in fact all hell broke loose in some municipalities in my province <EOS>    PP Score = 6.957
<SOS> prevention has to be our answer to disasters of this kind and this draft directive is an important step towards well trained safety advisers being available so that the right action is taken in good time <EOS>    PP Score = 7.410
<SOS> all the same we must not content ourselves with enacting european law to ensure greater safety <EOS>    PP Score = 8.456
<SOS> we also need to follow this up and make sure that our rules are transposed by the member states in good time and even more importantly we need to ensure that they are also applied afterwards <EOS>    PP Score = 7.665
<SOS> please let this not be yet another sector where we subsequently have to lament the lack of enforcement <EOS>    PP Score = 6.885
<SOS> in this context i should like to make a request and ask the commissioner responsible who is with us here today to table an appropriate text as soon as possible with a view to continuing to make it safer for traffic to transit tunnels in the future so that we in europe do not have to experience any more such disasters on this scale <EOS>    PP Score = 6.710
<SOS> madam president first of all i should like to thank mr koch for his report which has at its heart the issue of transport safety <EOS>    PP Score = 7.073
<SOS> the report looks at the issue of harmonising the examination requirements for safety advisors working in the areas of transportation of dangerous goods by road rail and inland waterway <EOS>    PP Score = 5.956
<SOS> i congratulate him on his excellent report <EOS>    PP Score = 10.547
<SOS> transport safety has sadly been in the news recently the paddington rail crash in london the terrible rail crash in norway the two aviation crashes involving eu citizens and the natural disaster involving the erika off brittany all within the last four months remind us that transport safety can never be taken for granted and that those charged with protecting the public must be highly motivated and highly qualified <EOS>    PP Score = 5.188
<SOS> the rapporteur has pointed out to the house that in its common position the council has accepted six of parliament is ten amendments put forward at first reading and that the substance of parliament is other amendments has been retained <EOS>    PP Score = 8.061
<SOS> my group will therefore support the common position and looks forward to the enactment of the legislation which will provide us with yet another tool in our fight to make transport in the european union as safe as possible <EOS>    PP Score = 6.440
<SOS> when it comes to safety my group will always support any initiatives to improve transport safety <EOS>    PP Score = 6.245
<SOS> we still have a lot of work to do in this area as recent events have proved <EOS>    PP Score = 10.097
<SOS> madam president i would like to make a few comments <EOS>    PP Score = 4.347
<SOS> i would like first of all to thank the rapporteur for his exceptionally accurate and technical work on the report and secondly the commission for the proposal it has submitted <EOS>    PP Score = 7.529
<SOS> we are concerned here with the harmonisation of examination requirements but also in fact with minimum requirements <EOS>    PP Score = 5.851
<SOS> this is a pity in a sense <EOS>    PP Score = 8.767
<SOS> needless to say safety on roads railways and inland waterways is of key importance and given the international nature of these types of transport training for safety advisors should also be harmonised therefore as well as the requirements of the new adr for example which is under way <EOS>    PP Score = 6.070
<SOS> this is important but so is enforcement and there are of course a number of reasons why we need to pay particular attention to this <EOS>    PP Score = 9.712
<SOS> just think of the road accidents which have occurred over recent years for example in belgium the netherlands and a number of other countries where lorries carrying dangerous goods continued to drive in foggy conditions when really they should have pulled off the road instead <EOS>    PP Score = 6.275
<SOS> or ships from eastern europe which moor adjacent to ships over here with all the obvious risks that this entails <EOS>    PP Score = 6.806
<SOS> furthermore it has transpired that research in the ports in belgium finland but also in japan has shown that 50 of containers with partially dangerous cargo are not delivered correctly for shipment <EOS>    PP Score = 6.249
<SOS> in short the issue is an important one <EOS>    PP Score = 11.873
<SOS> if we look at the situation where safety advisers are concerned in a number of countries it is compulsory to employ such safety advisers in companies as from 1 january of this year <EOS>    PP Score = 5.507
<SOS> there will be major problems with enforcing this rule at present especially with smaller companies as these cannot afford safety advisors <EOS>    PP Score = 5.763
<SOS> it is therefore also being requested that iso <NUM> certificates possibly include the finer details of these activities in the form of annual reports and company analyses <EOS>    PP Score = 5.334
<SOS> the work is done all that remains is the business of enforcement <EOS>    PP Score = 9.505
<SOS> i would like to mention one final point <EOS>    PP Score = 8.260
<SOS> with regard to enforcement proper agreements must also be concluded with the eastern european countries because they will not enter into treaties which deal with this matter until 1 july 2001 that is to say in eighteen months time <EOS>    PP Score = 6.615
<SOS> this gives them a competitive edge for the interim period <EOS>    PP Score = 8.222
<SOS> this is not in itself anything dreadful but we should prioritise particularly the safety aspects for goods transported by road rail and inland waterways and incorporate these as part of the acquis communautaire as soon as possible and present them to the acceding states <EOS>    PP Score = 5.818
<SOS> madam president the importance of transport safety is highlighted on a regular basis in this parliament and rightly so <EOS>    PP Score = 7.322
<SOS> the ever increasing volume of goods passing through europe entails all kinds of risks known and unknown for employees and the social environment <EOS>    PP Score = 6.630
<SOS> those having to deal with these risks should therefore meet stringent requirements <EOS>    PP Score = 10.258
<SOS> the relevant standards which have been laid down in another directive 95 35 ec seem sufficiently adequate to advise people in a responsible manner on the organisation of the transport of dangerous goods <EOS>    PP Score = 5.998
<SOS> i am very pleased that agreement has also been reached with the council on minimum standards regarding examinations although i would have preferred it if uniform set standards and modules had been established so that certificates would be of equal value internationally <EOS>    PP Score = 5.166
<SOS> this however does not seem feasible <EOS>    PP Score = 14.297
<SOS> finally the amendment tabled by the rapporteur is perfectly logical and i can therefore give it my wholehearted support <EOS>    PP Score = 8.251
<SOS> mr president commissioner i should first like to congratulate mr koch on his reports which though technical are nonetheless of very great significance for safety <EOS>    PP Score = 4.610
<SOS> i should like to make just a few comments <EOS>    PP Score = 9.539
<SOS> firstly i should like to ask the commissioner and i am convinced that my request will fall on fertile ground to ensure that more attention is paid to the issue of safety be it on the roads on the waterways or at sea <EOS>    PP Score = 6.694
<SOS> considering that it is only today that we are dealing with a commission proposal first made on <NUM> march 1998 even though parliament responded relatively quickly this time lag is a little too long <EOS>    PP Score = 7.930
<SOS> this is not just the fault of the commission but i believe that we need to take action more quickly so as to achieve harmonisation in this area as well <EOS>    PP Score = 7.967
<SOS> my second point has already been mentioned it concerns the minimum standards <EOS>    PP Score = 8.596
<SOS> in principle i believe that in many cases where transport is concerned we should be working towards increased flexibility and country specific rules <EOS>    PP Score = 7.442
<SOS> however when it comes to safety i am rather sceptical because safety in sweden for example is in principle no different from safety in germany italy or austria <EOS>    PP Score = 5.599
<SOS> should flexibility of this kind result in there being inadequate rules in some countries then we should work towards greater harmonisation <EOS>    PP Score = 7.980
<SOS> my third point has also been mentioned already <EOS>    PP Score = 10.819
<SOS> as you know like mr rack i come from a transit country where this issue plays a particularly important role <EOS>    PP Score = 5.926
<SOS> we do not want to make the conditions of competition worse for some countries unilaterally and improve them for countries such as austria or other transit countries <EOS>    PP Score = 6.115
<SOS> but i believe that we should do all we can to keep the transport of dangerous goods to a minimum in all countries whether they are transit countries or not <EOS>    PP Score = 7.059
<SOS> mr president i would firstly like to congratulate the rapporteur mr koch on his magnificent work and his positive cooperation with the commission with regard to improving the texts and presenting this report and this proposal in the end there is only one amendment on the requirements for the aptitude examination for safety advisers in the transport of dangerous goods by road rail or inland waterway <EOS>    PP Score = 4.589
<SOS> we understand that it is important that the two institutions parliament and commission cooperate and work together and that the current cooperation with the committee on regional policy and in particular the transport group is magnificent <EOS>    PP Score = 7.755
<SOS> the common position includes practically all of the amendments accepted by the commission and harmonises the minimum examination requirements for safety advisers and at second reading we can accept the amendment on the proposed date which is much more realistic than the one originally suggested by the commission bearing in mind that we have now spent several years debating this question <EOS>    PP Score = 7.316
<SOS> very briefly i would like to thank the various members for their interventions and to tell you that safety is one of the commission s priorities in the field of transport <EOS>    PP Score = 8.398
<SOS> as mr simpson has said very correctly this is a process which we can never take for granted or regard as having come to an end <EOS>    PP Score = 7.685
<SOS> the process of increasing safety margins and safety guarantees in transport is a process which must be improved day by day <EOS>    PP Score = 7.299
<SOS> in this regard i would also like to refer very briefly to the problems of the tunnels which messrs rack and swoboda have referred to which in the case of austria is doubtless a very sensitive issue and great effort should be made to improve their safety <EOS>    PP Score = 5.885
<SOS> in one of the worst accidents to have occurred recently the goods being transported were not dangerous in themselves <EOS>    PP Score = 7.549
<SOS> margarine and a few kilos of paint which in principle do not present risks led to a genuine disaster <EOS>    PP Score = 8.273
<SOS> therefore we will have to see how the requirements guaranteeing the maximum degree of safety can be further improved <EOS>    PP Score = 7.906
<SOS> finally i would like to say that we have to consider safety in all types of transport <EOS>    PP Score = 6.008
<SOS> this week we will be holding a debate here on the safety of sea transport in light of the erika disaster and in the course of this year we will have to discuss our objectives in terms of the safety of air transport <EOS>    PP Score = 8.517
<SOS> but i would like to say that safety is a priority objective for the commission <EOS>    PP Score = 8.012
<SOS> as i will say in the debate on the erika disaster we do not wait until there is a disaster to deal with the question of safety but we work on it even when there are no such circumstances which simply serve to demonstrate the urgency for an effective response to this type of problem <EOS>    PP Score = 7.079
<SOS> i would like to repeat my appreciation to all the speakers and especially to the rapporteur mr koch <EOS>    PP Score = 6.355
<SOS> the debate is closed <EOS>    PP Score = 4.749
<SOS> the vote will take place tomorrow at <NUM> p m <EOS>    PP Score = 2.161
<SOS> transport of dangerous goods by road <EOS>    PP Score = 9.604
<SOS> the next item is the report a<MOB> 199 by mr koch on behalf of the committee on regional policy transport and tourism on the proposal for a european parliament and council directive amending directive 94 55 ec on the approximation of the laws of the member states with regard to the transport of dangerous goods by road <FOOTNOTE> <EOS>    PP Score = 2.277
<SOS> mr president commissioner ladies and gentlemen the directive on the approximation of the laws of the member states with regard to the transport of dangerous goods by road which entered into force on 1 january 1997 contains a number of transitional provisions which are only valid for a limited period of time the term of validity being linked to the completion of specific standardisation work by the cen that is the european committee for standardisation <EOS>    PP Score = 4.420
<SOS> delays in the cen s work are now making it difficult to apply this very directive <EOS>    PP Score = 10.363
<SOS> in particular annexes cannot be adapted to take account of technical and industrial developments <EOS>    PP Score = 8.067
<SOS> i regret this since we are having to take action because others have not done their job <EOS>    PP Score = 9.726
<SOS> in this respect i accept this proposal to amend directive 94 55 ec which has been tabled for discussion today <EOS>    PP Score = 7.702
<SOS> should the european union fail to take action then member states would be obliged to amend their national legislation for a very brief period until the cen completes its work which would cause unnecessary cost and uncertainty <EOS>    PP Score = 7.372
<SOS> the amendment to the directive on today is agenda does not therefore affect the existing harmonisation of the transport of dangerous goods in the community <EOS>    PP Score = 5.200
<SOS> it merely prolongs transitional rules by postponing deadlines deletes provisions which are no longer applicable and lays down the procedures for a carrying out the ad hoc transportation of dangerous goods and b enacting less stringent national regulations in particular for the transport of very small amounts of dangerous goods within strictly defined local areas <EOS>    PP Score = 5.716
<SOS> the amendment to the directive is consequently in full accordance with the principle of subsidiarity the member states obtain more powers <EOS>    PP Score = 8.494
<SOS> the commission decides whether the member states may impose certain rules of their own in so doing it is supported by a committee of experts on the transport of dangerous goods under the regulatory procedure <EOS>    PP Score = 6.831
<SOS> the procedures for the exercise of these implementing powers conferred on the commission were laid down afresh in the council decision of june <NUM> <EOS>    PP Score = 7.056
<SOS> the proposal to be discussed today to amend the directive on the transport of dangerous goods by road dates from may 199 however and could not therefore take account of the latest comitology procedure <EOS>    PP Score = 5.512
<SOS> two of the amendments tabled and adopted unanimously by the committee relate precisely to this amended comitology procedure <EOS>    PP Score = 9.445
<SOS> we would like to ensure that there is a reference to this as early as the recitals and that the period within which the council has to make a decision which is not clearly worded is set at a maximum of three months <EOS>    PP Score = 8.130
<SOS> in addition the need for greater transparency has been pointed out <EOS>    PP Score = 7.871
